GEOID,Total_Households,No_Vehicle_Available
1400000US06001400100,1293,32
1400000US06001400200,847,39
1400000US06001400300,2441,371
1400000US06001400400,1802,170
1400000US06001400500,1606,186
1400000US06001400600,673,46
1400000US06001400700,1951,279
1400000US06001400800,1652,217
1400000US06001400900,1078,135
1400000US06001401000,2470,577
1400000US06001401100,2071,649
1400000US06001401200,1230,82
1400000US06001401300,1827,678
1400000US06001401400,1598,411
1400000US06001401500,1142,356
1400000US06001401600,896,159
1400000US06001401700,1295,124
1400000US06001401800,677,192
1400000US06001402200,871,191
1400000US06001402400,1221,399
1400000US06001402500,734,319
1400000US06001402600,631,246
1400000US06001402700,693,178
1400000US06001402800,2389,1119
1400000US06001402900,949,572
1400000US06001403000,1469,659
1400000US06001403100,898,254
1400000US06001403300,2143,729
1400000US06001403400,2838,896
1400000US06001403501,2655,952
1400000US06001403502,1158,203
1400000US06001403600,2643,273
1400000US06001403701,1738,362
1400000US06001403702,1102,167
1400000US06001403800,1814,114
1400000US06001403900,2059,44
1400000US06001404000,1638,136
1400000US06001404101,1660,296
1400000US06001404102,1657,549
1400000US06001404200,1286,24
1400000US06001404300,1284,30
1400000US06001404400,2315,97
1400000US06001404501,659,5
1400000US06001404502,2483,49
1400000US06001404600,1783,10
1400000US06001404700,805,0
1400000US06001404800,1159,113
1400000US06001404900,1860,216
1400000US06001405000,1446,76
1400000US06001405100,1608,10
1400000US06001405200,2414,180
1400000US06001405301,1572,193
1400000US06001405302,1377,402
1400000US06001405401,1657,379
1400000US06001405402,1180,291
1400000US06001405500,1572,271
1400000US06001405600,1386,202
1400000US06001405700,1368,172
1400000US06001405800,1338,186
1400000US06001405901,1100,217
1400000US06001405902,925,177
1400000US06001406000,1551,355
1400000US06001406100,1475,180
1400000US06001406201,1485,347
1400000US06001406202,1337,247
1400000US06001406300,1255,158
1400000US06001406400,748,162
1400000US06001406500,1948,326
1400000US06001406601,1746,159
1400000US06001406602,941,159
1400000US06001406700,2178,231
1400000US06001406800,1360,66
1400000US06001406900,1551,90
1400000US06001407000,1991,308
1400000US06001407101,1056,126
1400000US06001407102,1355,188
1400000US06001407200,1927,499
1400000US06001407300,730,100
1400000US06001407400,1127,162
1400000US06001407500,1358,267
1400000US06001407600,2123,183
1400000US06001407700,1651,61
1400000US06001407800,748,27
1400000US06001407900,1126,13
1400000US06001408000,1037,23
1400000US06001408100,2717,80
1400000US06001408200,1961,395
1400000US06001408300,1828,239
1400000US06001408400,1157,259
1400000US06001408500,1611,312
1400000US06001408600,1811,230
1400000US06001408700,2455,289
1400000US06001408800,2225,659
1400000US06001408900,1016,232
1400000US06001409000,1135,77
1400000US06001409100,675,179
1400000US06001409200,982,75
1400000US06001409300,1627,210
1400000US06001409400,1268,104
1400000US06001409500,1131,241
1400000US06001409600,1484,127
1400000US06001409700,1577,279
1400000US06001409800,1294,223
1400000US06001409900,1423,20
1400000US06001410000,1227,21
1400000US06001410100,1100,116
1400000US06001410200,1127,138
1400000US06001410300,1023,93
1400000US06001410400,1351,99
1400000US06001410500,925,280
1400000US06001420100,891,61
1400000US06001420200,1256,112
1400000US06001420300,1947,92
1400000US06001420400,1129,117
1400000US06001420500,974,85
1400000US06001420600,1247,59
1400000US06001421100,837,11
1400000US06001421200,1466,28
1400000US06001421300,1578,52
1400000US06001421400,625,10
1400000US06001421500,1576,49
1400000US06001421600,1537,38
1400000US06001421700,1574,292
1400000US06001421800,859,103
1400000US06001421900,1732,123
1400000US06001422000,928,58
1400000US06001422100,1212,228
1400000US06001422200,1554,176
1400000US06001422300,1680,365
1400000US06001422400,2067,639
1400000US06001422500,1439,412
1400000US06001422600,26,0
1400000US06001422700,1053,393
1400000US06001422800,1293,780
1400000US06001422900,2128,1214
1400000US06001423000,2087,511
1400000US06001423100,1976,448
1400000US06001423200,1142,207
1400000US06001423300,1587,283
1400000US06001423400,2002,259
1400000US06001423500,1486,429
1400000US06001423601,1214,182
1400000US06001423602,2193,817
1400000US06001423700,1305,222
1400000US06001423800,1306,76
1400000US06001423901,818,151
1400000US06001423902,712,116
1400000US06001424001,1426,237
1400000US06001424002,934,142
1400000US06001425101,1159,103
1400000US06001425102,2022,141
1400000US06001425103,1429,31
1400000US06001425104,1958,381
1400000US06001426100,2178,67
1400000US06001426200,1660,45
1400000US06001427100,1420,60
1400000US06001427200,1597,122
1400000US06001427300,2058,131
1400000US06001427600,1773,193
1400000US06001427700,2234,226
1400000US06001427800,2072,269
1400000US06001427900,2072,50
1400000US06001428000,1362,298
1400000US06001428100,1983,162
1400000US06001428200,2661,117
1400000US06001428301,2492,19
1400000US06001428302,2474,134
1400000US06001428400,1873,76
1400000US06001428500,1386,176
1400000US06001428600,1581,116
1400000US06001428700,1380,314
1400000US06001430101,2179,91
1400000US06001430102,900,9
1400000US06001430200,2400,100
1400000US06001430300,1334,15
1400000US06001430400,716,7
1400000US06001430500,2086,166
1400000US06001430600,2166,72
1400000US06001430700,1395,44
1400000US06001430800,2109,83
1400000US06001430900,1864,90
1400000US06001431000,1087,90
1400000US06001431100,1377,157
1400000US06001431200,2496,183
1400000US06001432100,1458,54
1400000US06001432200,1680,200
1400000US06001432300,1655,128
1400000US06001432400,1832,73
1400000US06001432501,1422,115
1400000US06001432502,1536,65
1400000US06001432600,3036,366
1400000US06001432700,1035,9
1400000US06001432800,1442,11
1400000US06001433000,1371,53
1400000US06001433102,1384,60
1400000US06001433103,1410,91
1400000US06001433104,1849,305
1400000US06001433200,2772,285
1400000US06001433300,2218,48
1400000US06001433400,2200,88
1400000US06001433500,1402,72
1400000US06001433600,2132,131
1400000US06001433700,1019,34
1400000US06001433800,2573,122
1400000US06001433900,2373,167
1400000US06001434000,1822,208
1400000US06001435102,1574,35
1400000US06001435103,2346,0
1400000US06001435104,2202,170
1400000US06001435200,1505,72
1400000US06001435300,1640,62
1400000US06001435400,1781,336
1400000US06001435500,1530,152
1400000US06001435601,1600,35
1400000US06001435602,1673,137
1400000US06001435700,1459,64
1400000US06001435800,1652,28
1400000US06001435900,1633,69
1400000US06001436000,1506,30
1400000US06001436100,1756,151
1400000US06001436200,1268,102
1400000US06001436300,2978,198
1400000US06001436401,2848,259
1400000US06001436402,1058,18
1400000US06001436500,1722,109
1400000US06001436601,1862,81
1400000US06001436602,1680,140
1400000US06001436700,1088,104
1400000US06001436800,1342,77
1400000US06001436900,1885,99
1400000US06001437000,1213,84
1400000US06001437101,2036,58
1400000US06001437102,1406,196
1400000US06001437200,2344,133
1400000US06001437300,959,40
1400000US06001437400,954,9
1400000US06001437500,1192,54
1400000US06001437600,920,113
1400000US06001437701,1026,103
1400000US06001437702,1112,8
1400000US06001437800,1360,65
1400000US06001437900,663,28
1400000US06001438000,1145,19
1400000US06001438100,2145,28
1400000US06001438201,1193,55
1400000US06001438203,1159,42
1400000US06001438204,1847,64
1400000US06001438300,873,11
1400000US06001438400,733,14
1400000US06001440100,1140,217
1400000US06001440200,1520,54
1400000US06001440301,2244,88
1400000US06001440304,1307,71
1400000US06001440305,1061,0
1400000US06001440306,1026,37
1400000US06001440307,1690,81
1400000US06001440308,2006,272
1400000US06001440331,899,63
1400000US06001440332,918,11
1400000US06001440333,843,29
1400000US06001440334,1114,11
1400000US06001440335,2365,208
1400000US06001440336,1434,50
1400000US06001441100,1675,111
1400000US06001441200,2518,83
1400000US06001441301,1158,44
1400000US06001441302,1894,9
1400000US06001441401,2385,102
1400000US06001441402,1727,34
1400000US06001441501,1825,10
1400000US06001441503,2394,42
1400000US06001441521,1821,67
1400000US06001441522,1491,28
1400000US06001441523,1445,42
1400000US06001441524,1333,33
1400000US06001441601,1468,27
1400000US06001441602,2412,107
1400000US06001441700,2955,240
1400000US06001441800,2380,171
1400000US06001441921,1263,18
1400000US06001441923,2292,293
1400000US06001441924,2658,45
1400000US06001441925,3069,325
1400000US06001441926,1511,110
1400000US06001441927,1788,272
1400000US06001442000,1021,0
1400000US06001442100,1630,8
1400000US06001442200,2267,60
1400000US06001442301,1648,119
1400000US06001442302,2368,394
1400000US06001442400,2018,89
1400000US06001442500,2297,128
1400000US06001442601,1316,28
1400000US06001442602,1641,69
1400000US06001442700,1052,0
1400000US06001442800,940,29
1400000US06001442900,2287,46
1400000US06001443001,836,18
1400000US06001443002,2014,18
1400000US06001443102,1511,30
1400000US06001443103,1248,25
1400000US06001443104,1789,44
1400000US06001443105,1539,38
1400000US06001443200,1225,8
1400000US06001443301,1286,17
1400000US06001443321,1125,65
1400000US06001443322,992,17
1400000US06001444100,2573,160
1400000US06001444200,1887,27
1400000US06001444301,1189,7
1400000US06001444302,1500,38
1400000US06001444400,1519,24
1400000US06001444500,2025,30
1400000US06001444601,1779,47
1400000US06001444602,1575,31
1400000US06001450101,2168,78
1400000US06001450102,1334,69
1400000US06001450200,2155,129
1400000US06001450300,1811,92
1400000US06001450400,2461,61
1400000US06001450501,1200,65
1400000US06001450502,1823,46
1400000US06001450601,1370,2
1400000US06001450602,3538,71
1400000US06001450603,1671,0
1400000US06001450604,1848,86
1400000US06001450605,1508,21
1400000US06001450606,2103,40
1400000US06001450607,2445,240
1400000US06001450701,2785,38
1400000US06001450741,2050,114
1400000US06001450742,1974,177
1400000US06001450743,2492,80
1400000US06001450744,2156,104
1400000US06001450745,2321,91
1400000US06001450746,1423,120
1400000US06001450750,2288,97
1400000US06001450751,3135,50
1400000US06001450752,2091,13
1400000US06001451101,2630,37
1400000US06001451102,1359,0
1400000US06001451201,2831,66
1400000US06001451202,1825,50
1400000US06001451300,2369,37
1400000US06001451401,2442,118
1400000US06001451403,783,15
1400000US06001451404,2222,122
1400000US06001451501,1733,180
1400000US06001451503,2244,92
1400000US06001451504,626,25
1400000US06001451505,1193,0
1400000US06001451506,1104,7
1400000US06001451601,1983,39
1400000US06001451602,2759,387
1400000US06001451701,1109,22
1400000US06001451703,1393,13
1400000US06001451704,1659,0
1400000US06001981900,27,4
1400000US06001982000,32,0
1400000US06001983200,340,7
1400000US06001990000,0,0
1400000US06013301000,1864,109
1400000US06013302005,2318,136
1400000US06013302006,1231,84
1400000US06013302007,1995,133
1400000US06013302008,2262,72
1400000US06013302009,2126,64
1400000US06013302010,3170,112
1400000US06013303102,2847,0
1400000US06013303103,3907,112
1400000US06013303201,3193,159
1400000US06013303202,2431,46
1400000US06013303203,2985,100
1400000US06013303204,1693,116
1400000US06013303205,3460,113
1400000US06013304001,1912,86
1400000US06013304002,475,31
1400000US06013304003,1510,9
1400000US06013304004,1677,0
1400000US06013304005,2422,63
1400000US06013305000,2219,298
1400000US06013306002,1040,8
1400000US06013306003,1639,175
1400000US06013306004,1272,47
1400000US06013307101,1463,53
1400000US06013307102,1747,125
1400000US06013307201,1067,114
1400000US06013307202,1542,205
1400000US06013307204,1312,45
1400000US06013307205,2593,237
1400000US06013308001,2467,120
1400000US06013308002,1407,33
1400000US06013309000,1252,22
1400000US06013310000,1714,70
1400000US06013311000,1511,135
1400000US06013312000,735,147
1400000US06013313101,2664,412
1400000US06013313102,1534,134
1400000US06013313103,2650,0
1400000US06013313203,953,30
1400000US06013313204,1755,73
1400000US06013313205,500,17
1400000US06013313206,1562,51
1400000US06013314102,1875,108
1400000US06013314103,1545,88
1400000US06013314104,2522,103
1400000US06013314200,1824,78
1400000US06013315000,1291,0
1400000US06013316000,472,162
1400000US06013317000,1012,44
1400000US06013318000,1572,151
1400000US06013319000,3122,57
1400000US06013320001,1183,46
1400000US06013320003,1016,0
1400000US06013320004,2554,0
1400000US06013321101,2334,90
1400000US06013321102,2668,53
1400000US06013321103,1815,7
1400000US06013321200,2336,151
1400000US06013322000,2520,88
1400000US06013323000,1732,31
1400000US06013324001,3135,271
1400000US06013324002,2324,86
1400000US06013325000,2242,210
1400000US06013326000,1360,48
1400000US06013327000,2855,182
1400000US06013328000,1357,344
1400000US06013329000,2233,48
1400000US06013330000,1949,28
1400000US06013331000,2814,119
1400000US06013332000,2929,111
1400000US06013333101,1492,42
1400000US06013333102,1545,29
1400000US06013333200,2224,44
1400000US06013334001,1475,252
1400000US06013334004,3200,270
1400000US06013334006,1726,32
1400000US06013334200,2691,285
1400000US06013335000,1162,17
1400000US06013336101,1592,146
1400000US06013336102,2722,338
1400000US06013336201,1248,76
1400000US06013336202,1735,202
1400000US06013337100,1230,0
1400000US06013337200,3247,199
1400000US06013337300,2377,105
1400000US06013338101,1887,245
1400000US06013338102,1370,39
1400000US06013338201,1451,56
1400000US06013338203,2760,285
1400000US06013338204,2892,40
1400000US06013338301,1088,101
1400000US06013338302,2115,21
1400000US06013339001,1919,128
1400000US06013339002,3661,350
1400000US06013340001,2469,213
1400000US06013340002,3055,64
1400000US06013341000,2116,57
1400000US06013343001,2022,321
1400000US06013343002,1780,142
1400000US06013343003,1452,39
1400000US06013345101,1839,47
1400000US06013345102,1186,14
1400000US06013345103,1757,151
1400000US06013345105,2214,79
1400000US06013345108,3216,93
1400000US06013345111,1854,68
1400000US06013345112,2358,19
1400000US06013345113,1561,38
1400000US06013345114,2588,46
1400000US06013345115,1933,190
1400000US06013345116,885,18
1400000US06013345202,3030,64
1400000US06013345203,2733,179
1400000US06013345204,1246,48
1400000US06013346101,1320,8
1400000US06013346102,1928,96
1400000US06013346201,2865,169
1400000US06013346203,1475,8
1400000US06013346204,2644,149
1400000US06013347000,2311,19
1400000US06013348000,1601,10
1400000US06013349000,2122,208
1400000US06013350000,2566,121
1400000US06013351101,1951,137
1400000US06013351102,2773,357
1400000US06013351103,1358,70
1400000US06013351200,2097,17
1400000US06013352101,828,5
1400000US06013352102,1841,20
1400000US06013352201,2446,55
1400000US06013352202,1081,52
1400000US06013353001,1410,12
1400000US06013353002,1548,82
1400000US06013354001,761,0
1400000US06013354002,2738,210
1400000US06013355107,1649,0
1400000US06013355108,3694,146
1400000US06013355109,2133,160
1400000US06013355110,1202,12
1400000US06013355111,1950,32
1400000US06013355112,2069,65
1400000US06013355113,1698,0
1400000US06013355114,3513,214
1400000US06013355115,2672,66
1400000US06013355116,2487,97
1400000US06013355117,1933,32
1400000US06013355200,3067,69
1400000US06013355301,2879,20
1400000US06013355302,1227,16
1400000US06013355304,3122,120
1400000US06013355306,1866,21
1400000US06013356001,1261,32
1400000US06013356002,1937,33
1400000US06013357000,1442,74
1400000US06013358000,2264,225
1400000US06013359102,1948,83
1400000US06013359103,1919,29
1400000US06013359104,922,18
1400000US06013359105,1728,20
1400000US06013359202,2179,172
1400000US06013359203,2288,37
1400000US06013359204,1525,52
1400000US06013360101,1644,99
1400000US06013360102,1451,20
1400000US06013360200,1775,69
1400000US06013361000,1765,87
1400000US06013362000,1190,16
1400000US06013363000,2642,48
1400000US06013364002,1791,152
1400000US06013365002,1480,62
1400000US06013365003,2343,195
1400000US06013366001,1243,34
1400000US06013366002,1810,80
1400000US06013367100,1999,266
1400000US06013367200,1743,171
1400000US06013368001,1309,94
1400000US06013368002,1118,46
1400000US06013369001,2324,214
1400000US06013369002,1064,29
1400000US06013370000,1137,74
1400000US06013371000,1947,117
1400000US06013372000,2295,126
1400000US06013373000,1153,132
1400000US06013374000,1771,261
1400000US06013375000,1231,74
1400000US06013376000,1644,182
1400000US06013377000,2265,417
1400000US06013378000,1739,172
1400000US06013379000,1909,258
1400000US06013380000,2808,152
1400000US06013381000,2001,249
1400000US06013382000,2791,335
1400000US06013383000,2032,114
1400000US06013384000,1631,47
1400000US06013385100,1110,12
1400000US06013385200,510,5
1400000US06013386000,1473,225
1400000US06013387000,1110,90
1400000US06013388000,1129,31
1400000US06013389100,886,67
1400000US06013389200,670,87
1400000US06013390100,915,8
1400000US06013390200,743,42
1400000US06013391000,1140,14
1400000US06013392000,1114,8
1400000US06013392200,3065,57
1400000US06013392300,851,5
1400000US06013990000,0,0